HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
제2024-22호,2 (g/일),2 (g/일),g/일,나한과박추출분말(DKB131)(제2024-22호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint"
제2024-23호,500 (mg/일),500 (mg/일),mg/일,배초향·고지베리·무화과복합추출물(제2024-23호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취 시 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의해 손상된 피부 건강 유지에 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing, ② May help to maintain skin health from skin damage by UV radiation"
제2024-25호,12 (mg/일),12 (mg/일),mg/일,마리골드꽃추출물(지아잔틴함유)(제2024-25호),「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름,「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름
제2024-26호,500 (mg/일),500 (mg/일),mg/일,유산균발효굴추출물(FGO)(제2024-26호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정원료에 알레르기가 있거나 장기간 또는 의약품 복용시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 키 성장에는 충분한 영양섭취, 적절한 수면, 건강한 생활습관·운동을 병행하여야 함","(국문) 어린이 키성장에 도움을 줄 수 있음
(영문) May help to children grow taller"
제2024-27호,500 (mg/일),500 (mg/일),mg/일,유산균발효굴추출물(FGO)(제2024-27호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정원료에 알레르기가 있거나 장기간 또는 의약품 복용시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 키 성장에는 충분한 영양섭취, 적절한 수면, 건강한 생활습관·운동을 병행하여야 함","(국문) 어린이 키성장에 도움을 줄 수 있음
(영문) May help to children grow taller"
제2024-28호,600 (mg/일),600 (mg/일),mg/일,참당귀황기추출복합물(SHPro®)(제2024-28호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 혈액응고방지제 또는 혈당강하제를 복용하는 분은 섭취에 주의할 것","(국문) 전립선 건강의 유지에 도움을 줄 수 있음
(영문) May help to maintain healthy prostate"
제2024-29호,10 (g/일),10 (g/일),g/일,저분자유청펩타이드(제2024-29호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(우유 및 유제품에 대한 알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) · 노화로 인해 감소될 수 있는 근력 유지에 도움을 줄 수 있음
         · 근력운동과 병행 시 체지방 감소에 도움을 줄 수 있음
(영문) · May help to maintain muscle strength which can be affected by aging
         ․May help to reduce body fat by combining with muscle strength exercise"
제2024-2호,480 (mg/일),480 (mg/일),mg/일,녹용효소분해추출물(HENKIVⓇ)(제2024-2호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 호르몬제 등 의약품 복용 시 전문가와 상담할 것","(국문) 면역기능 증진에 도움을 줄 수 있음
(영문) May help to improve immune function"
제2024-30호,125 (mg/일),125 (mg/일),mg/일,아쉬아간다추출물(Sensoril®)(제2024-30호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 졸음을 유발하는 약물(신경 안정제 등)과 병용섭취하지 말 것","(국문) 스트레스로 인한 긴장완화에 도움을 줄 수 있음
(영문) May help to relieve stress"
제2024-33호,400 (mg/일),400 (mg/일),mg/일,홍삼추출효소처리분말(제2024-33호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 당뇨치료제 및 혈액항응고제 복용시 섭취에 주의할 것","(국문) 혈압조절에 도움을 줄 수 있음
(영문) May help to regulate blood pressure"
제2024-34호,4 (g/일),2 (g/일),g/일,저분자콜라겐펩타이드(제2024-34호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing, ② May help to maintain skin health from skin damage by UV radiation"
제2024-35호,4 (g/일),2 (g/일),g/일,저분자콜라겐펩타이드(제2024-35호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing
② May help to maintain skin health from skin damage by UV radiation"
제2024-36호,"1,800 (mg/일)","1,800 (mg/일)",mg/일,산딸기·왕느릅나무·치자추출복합물(제2024-36호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa"
제2024-37호,500 (mg/일),500 (mg/일),mg/일,털부처꽃추출물(제2024-37호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2024-38호,1 (g/일),1 (g/일),g/일,유산균발효대두분말(제2024-38호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기(대두) 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa"
제2024-3호,200 (mg/일),200 (mg/일),mg/일,에키네시아추출물(제2024-3호),"(1) 영‧유아, 어린이, 임산부, 및 수유부는 섭취 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취 시 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 8주 이상 연속으로 섭취하지 말 것
(5) 결핵, 백혈병, 교원증, 다발성 경화증, AIDS, HIV 감염 및 자가면역 장애가 있는 경우 섭취를 금지할 것
(6) 면역억제제를 복용할 경우 섭취 전 전문가와 상담할 것","(국문) 면역기능 증진에 도움을 줄 수 있음
(영문) May help to improve immune function"
제2024-40호,600 (mg/일),600 (mg/일),mg/일,황칠나무잎·줄기추출물(제2024-40호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취시 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 노화로 인해 저하된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by aging"
제2024-4호,1 (g/일),1 (g/일),g/일,풋사과 농축분말(APPLOZIN®)(제2024-4호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing, ② May help to maintain skin health from skin damage by UV radiation"
제2024-6호,715 (mg/일),715 (mg/일),mg/일,백편두추출분말(NOVAponinⓇ)(제2024-6호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa"
제2024-8호,200 (mg/일),200 (mg/일),mg/일,영지버섯균사체추출분말(제2024-8호),"(1) 영‧유아, 어린이, 임산부, 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취 시 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(당뇨병 치료제, 항응고제, 항혈소판제 등) 복용 시 전문가와 상담할 것","(국문) 면역기능 증진에 도움을 줄 수 있음
(영문) May help to improve immune function"
제2024-9호,500 (mg/일),500 (mg/일),mg/일,난각막가수분해물(NEM®)(제2024-9호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(계란에 대한 특이체질, 알레르기 체질 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain joint and cartilage health"
제2025-10호,30 (mg/일),30 (mg/일),mg/일,밀배유추출물(제2025-10호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)
① 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
② 피부 보습에 도움을 줄 수 있음
(영문)
① May help to maintain skin health from skin damage by UV radiation
② May help to maintain skin moisturizing"
제2025-12호,500 (mg/일),500 (mg/일),mg/일,헛개나무과병·오미자박추출복합물(제2025-12호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음
(영문) May help to protect liver"
제2025-13호,388 (mg/일),388 (mg/일),mg/일,프로폴리스망고스틴껍질복합물(제2025-13호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(항응고제, 항혈소판제 등) 복용 시 전문가와 상담할 것","(국문) 잇몸상태 완화에 도움을 줄 수 있음
(영문) May help to relieve gum’s condition"
제2025-15호,"10,000,000,000 (CFU/일)","10,000,000,000 (CFU/일)",CFU/일,L. mucosae NK41과 B. longum NK46의 프로바이오틱스 복합물(NVP-2106)(제2025-15호),"(1) 영·유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(5) 과다 섭취하지 말 것","(국문) 노화로 인해 저하된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by aging"
제2025-16호,400 (mg/일),400 (mg/일),mg/일,단삼주정추출분말(SAGX)(제2025-16호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(3) 의약품(항응고제 등)과 복용 시 섭취에 주의할 것","(국문) 전립선 건강의 유지에 도움을 줄 수 있음
(영문) May help to maintain healthy prostate"
제2025-18호,500 (mg/일),500 (mg/일),mg/일,헛개나무과병·오미자박추출복합물(제2025-18호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음
(영문) May help to protect liver"
